tempo,vento,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
1:00.02,,PERINI Riccardo,1990,JM,ATL. CARPENEDOLO,1 su- 1,Casalmaggiore,2008-09-06,https://www.fidal.it/atleta/PERINI-Riccardo/dqqRkpKmaGg%3D,https://www.fidal.it/societa/ATL--CARPENEDOLO/BS278
1:00.04,,MAGAGNATO Roberto,1990,JM,JAGER ATLETICA VITTORIO V.TO,3 se- 1,Majano,2008-07-27,https://www.fidal.it/atleta/MAGAGNATO-Roberto/eKiRlZakb2w%3D,https://www.fidal.it/societa/JAGER-ATLETICA-VITTORIO-V-TO/TV361
1:00.06,,PERONI Frederic,1963,SM45,PRO SESTO ATL.,2 se- 3,Chiari,2008-07-06,https://www.fidal.it/atleta/PERONI-Frederic/dqiRkpSjamQ%3D,https://www.fidal.it/societa/PRO-SESTO-ATL-/MI089
1:00.06,,BALLARIN Diego,1991,AM,ATL. ALESSANDRIA,2 se- 2,Alessandria,2008-07-09,https://www.fidal.it/atleta/BALLARIN-Diego/dKmRk5eocGg%3D,https://www.fidal.it/societa/ATL--ALESSANDRIA/AL001
1:00.07,,PELLANDA Roberto,1975,SM,DAINI CARATE BRIANZA,4 se- 4,Saronno,2008-05-18,https://www.fidal.it/atleta/PELLANDA-Roberto/dq2RkpWoamY%3D,https://www.fidal.it/societa/DAINI-CARATE-BRIANZA/MI095
1:00.12,,CAMASCHELLA Gian luca,1971,SM35,TEAM ATLETICO-MERCURIO NOVARA,2 se- 2,Rovellasca,2008-07-16,https://www.fidal.it/atleta/CAMASCHELLA-Gian-luca/dKiRkpKjcGU%3D,https://www.fidal.it/societa/TEAM-ATLETICO-MERCURIO-NOVARA/NO020
1:00.13,,SCARABELLI Marcello,1983,SM,C.U.S. PAVIA,6 se- 2,Milano,2008-06-29,https://www.fidal.it/atleta/SCARABELLI-Marcello/dqiRlpOnbWc%3D,https://www.fidal.it/societa/C-U-S--PAVIA/PV108
1:00.13,,CORZANI Edoardo,1991,AM,ALTO LAZIO A.S.D.,4 se- 2,Alessandria,2008-09-28,https://www.fidal.it/atleta/CORZANI-Edoardo/f6iRl5OoaGU%3D,https://www.fidal.it/societa/ALTO-LAZIO-A-S-D-/VT501
1:00.17,,MONTECUCCO Massimo,1987,PM,A.S.D. ATLETICASPEZIA CARISPE,2 se- 3,Milano,2008-06-29,https://www.fidal.it/atleta/MONTECUCCO-Massimo/daiRk5Wlb2o%3D,https://www.fidal.it/societa/A-S-D--ATLETICASPEZIA-CARISPE/SP573
1:00.18,,BROCCOLETTI Stefano,1991,AM,ATL.SANGIORGESE TECNOLIFT R.R.,6 se- 1,Fabriano,2008-07-06,https://www.fidal.it/atleta/BROCCOLETTI-Stefano/e6iRk5SkbmM%3D,https://www.fidal.it/societa/ATL-SANGIORGESE-TECNOLIFT-R-R-/FM002
1:00.23,,MARGONARI Carlo,1989,JM,FONDAZIONE M. BENTEGODI,5 se- 2,Marcon,2008-06-02,https://www.fidal.it/atleta/MARGONARI-Carlo/eKAAARkpSicGs%3D,https://www.fidal.it/societa/FONDAZIONE-M--BENTEGODI/VR784
